asin,title,category,rank,price,rating,review_count,image_url,_page,_retrieved_at
"0008839042","Yesteryear: The electrifying must-read debut – ‘Everyone will be talking about it’ Jennie Godfrey: The Sunday Times Number One Bestseller – ‘Everyone will be talking about it’ Bella Mackie","Books","13","437","4.2","63709","https://images-eu.ssl-images-amazon.com/images/I/712LIdSTj+L._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0062312685","The Intelligent Investor (English) Paperback – 2013","Books","14",,"4.5","52027","https://images-eu.ssl-images-amazon.com/images/I/71WWw6d85JL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0062641549","Harper Collins India The Subtle Art Of Not Giving A F*ck A Counterintuitive Approach To Living A Good Life","Books","26","405","4.5","158048","https://images-eu.ssl-images-amazon.com/images/I/71t4GuxLCuL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0099549484","To Kill A Mockingbird: 60th Anniversary Edition","Books","16","335","4.5","139337","https://images-eu.ssl-images-amazon.com/images/I/81gepf1eMqL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0099590085","Sapiens: THE MULTI-MILLION COPY BESTSELLER","Books","4","485","4.7","125846","https://images-eu.ssl-images-amazon.com/images/I/713jIoMO3UL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0141033576","Thinking, Fast and Slow","Books","15","539","4.5","33498","https://images-eu.ssl-images-amazon.com/images/I/71f6DceqZAL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0143450832","Death; An Inside Story: A book for all those who shall die","Books","28","225","4.7","13272","https://images-eu.ssl-images-amazon.com/images/I/91JO2pVO7RL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0241252083","White Nights by Fyodor Dostoyevsky: A Timeless Story of Love, Longing & Solitude | Classic Fiction, Russian Literature, Romantic Novella | Penguin Little Black Classics","Books","22","126","4.6","5338","https://images-eu.ssl-images-amazon.com/images/I/41y8H3QmVqL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0349413681","DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD","Books","23","269","4.5","32584","https://images-eu.ssl-images-amazon.com/images/I/61zt25yYrCL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0550438963","The Subtle Art of Not Giving a F*ck-19 Jan 2017","Books","22",,"4.5","158048","https://images-eu.ssl-images-amazon.com/images/I/71U-EIM8VAL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"0718186613","Anxious People","Books","11",,"4.6","89775","https://images-eu.ssl-images-amazon.com/images/I/712GlpGC-qL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1408856778","Harry Potter : The Complete Collection (Set of 7 Books)","Books","9","2911","4.6","39396","https://images-eu.ssl-images-amazon.com/images/I/81uRUnI9Y3L._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1409181634","THE SILENT PATIENT","Books","21","254","4.6","263594","https://images-eu.ssl-images-amazon.com/images/I/81JJPDNlxSL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1409303187","Peppa Pig: Little Library","Books","17","237","4.3","25702","https://images-eu.ssl-images-amazon.com/images/I/71KVFqDu1PL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1760630721","Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness","Books","10","345","4.5","22612","https://images-eu.ssl-images-amazon.com/images/I/710cYy40DUL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"178633089X","Ikigai: The Japanese secret to a long and happy life","Books","2","349","4.6","62529","https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1787630471","The Ride of a Lifetime: Lessons in Creative Leadership from 15 Years as CEO of the Walt Disney Company","Books","19","560","4.6","23929","https://images-eu.ssl-images-amazon.com/images/I/71oC2CPfZGL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1846041244","Man's Search For Meaning: The classic tribute to hope from the Holocaust","Books","3","269","4.5","97838","https://images-eu.ssl-images-amazon.com/images/I/61MdAtnimVL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1847941834","Atomic Habits: Tiny Changes, Remarkable Results","Books","10","536","4.6","111801","https://images-eu.ssl-images-amazon.com/images/I/817HaeblezL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"1847946240","The Power of Habit: Why We Do What We Do, and How to Change","Books","27","444","4.5","30462","https://images-eu.ssl-images-amazon.com/images/I/71aMS2VSfeL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8172234988","The Alchemist","Books","7","259","4.6","180584","https://images-eu.ssl-images-amazon.com/images/I/617lxveUjYL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"817234354X","The Prophet","Books","29","99","4.4","13328","https://images-eu.ssl-images-amazon.com/images/I/91yjbqL1V2S._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8172344562","The Great Gatsby","Books","30","159","4.4","8540","https://images-eu.ssl-images-amazon.com/images/I/91v9I3n1IsL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8172345666","The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback","Books","19","149","4.5","66970","https://images-eu.ssl-images-amazon.com/images/I/71g4OFCERdL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8192910911","Think and Grow Rich","Books","11","210","4.4","74913","https://images-eu.ssl-images-amazon.com/images/I/71AdHA+qqwL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8192910962","Amazing Reads The Power of your Subconscious Mind","Books","6","225","4.5","66970","https://images-eu.ssl-images-amazon.com/images/I/81gTwYAhU7L._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8192910997","How to Win Friends and Influence People","Books","18","150","4.4","105164","https://images-eu.ssl-images-amazon.com/images/I/81rsnHmlrbL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8193965132","Yellow GK Updated 2026 (Hindi Version) Book By Ankit Bhati Sir RWA","Books","7","209","4.3","901","https://images-eu.ssl-images-amazon.com/images/I/71FgaZIjJqL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8195645755","Blackbook of English vocabulary 2026 Edition (English Medium) by Nikhil Gupta","Books","13","345","4.5","130","https://images-eu.ssl-images-amazon.com/images/I/71W0zVV6nwL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"8195645798","Blackbook of English vocabulary 2026 Edition (English - Hindi : Bilingual) by Nikhil Gupta","Books","20","349","4.6","222","https://images-eu.ssl-images-amazon.com/images/I/71BzMUxSaUL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9313196972","41 Years' Chapterwise Topicwise Solved Papers (2019-1979) IIT JEE Mathematics (Old Edition)","Books","18",,"4.5","2381","https://images-eu.ssl-images-amazon.com/images/I/61aSGMLgwIL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9324195395","General Knowledge 2021 (Old Edition)","Books","4",,"4.2","7493","https://images-eu.ssl-images-amazon.com/images/I/71fnmE5cQwL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9324195417","General Knowledge 2021 (Old Edition)","Books","10","174","4.3","2670","https://images-eu.ssl-images-amazon.com/images/I/71nrR1DCjYL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9324198076","CBSE All In One Social Science Class 10 for 2021 Exam (Old Edition)","Books","8","439","4.4","3601","https://images-eu.ssl-images-amazon.com/images/I/51ZffOuwwUL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9325291215","CBSE New Pattern 15 Sample Paper Physical Education Class 12 for 2021 Exam with reduced Syllabus","Books","30","198","4.5","245","https://images-eu.ssl-images-amazon.com/images/I/61d-y1l4sqL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9350897245","1001 Activities Book for Kids for Age 4+ with Exciting Activities of Word Searches, Puzzles, Dot-to-Dots, Mazes and Colouring","Books","24","354","4.4","8978","https://images-eu.ssl-images-amazon.com/images/I/71ENTgi7REL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9351551393","English Language & Literature Class 9 (Old Edition)","Books","30","265","4.2","53","https://images-eu.ssl-images-amazon.com/images/I/61sWBPjyhOL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9353944651","NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson","Books","14","477","4.4","2875","https://images-eu.ssl-images-amazon.com/images/I/61dUu4NucYL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"935440460X","201 Brain Booster Activity Book - Fun Activities and Exercises For Children | Tracing & Pattern, Colors & Shapes, Maze | Ages 5 and up | 1.5 hours of fun time","Toys & Games","28","99","4.4","3398","https://images-eu.ssl-images-amazon.com/images/I/81abDkWQfeL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9354405118","101 Pencil Control Activity Book For Kids: Tracing Practise Book | Age 2+ and up | 4 hours of writing activities","Toys & Games","25","165","4.4","2975","https://images-eu.ssl-images-amazon.com/images/I/71djGPiY5+L._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9355434146","The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English)","Books","30","269","4.5","27797","https://images-eu.ssl-images-amazon.com/images/I/61xivWmExiL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9357290486","NCERT CLASS 9 SHARDA TEXTBOOK OF SANSKRIT GRADE 9 902 (2026-2027 edition)","Books","14","110","4.4","201","https://images-eu.ssl-images-amazon.com/images/I/71ELAB1YYqL._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
"9357290834","NCERT CLASS 9 Iravati – Sanskrit R3 Textbook for Class 9 9317 (2026-2027 edition)","Books","30","80",,,"https://images-eu.ssl-images-amazon.com/images/I/71xAMmkE3-L._AC_UL300_SR300,200_.jpg","1","2026-07-11T19:35:02.047Z"
